1502786357195942400,0.30130,0.04898,-0.20368,-0.00114,0.99994,0.00062,0.01084,1.11674,-0.04763,-1.15049,
1502786357295809536,0.30880,-0.02347,0.03023,-0.00194,0.99976,0.00182,0.02153,1.02048,-0.12023,-0.61692,
1502786357395779584,0.38399,-0.09864,-0.17901,-0.00446,0.99961,0.00182,0.02754,1.01963,-0.11565,-0.97347,
1502786357495674624,0.39565,-0.12166,-0.08313,-0.00702,0.99945,0.00174,0.03250,0.92982,-0.14209,-0.76166,
1502786357595697408,0.00726,-0.19149,0.27016,-0.00415,0.99965,0.00377,0.02580,0.34178,-0.14709,-0.36848,
1502786357695725824,-0.08926,-0.19198,0.48010,-0.00473,0.99994,0.00533,0.00779,0.27419,-0.10888,-0.17509,
1502786357795608832,-0.11991,-0.18353,0.56635,-0.00527,0.99991,0.00691,-0.01016,0.27664,-0.07301,-0.11997,
1502786357895584000,-0.10062,-0.19335,0.56343,-0.00739,0.99964,0.00879,-0.02413,0.29837,-0.06888,-0.11648,
1502786357995627264,-0.08993,-0.21341,0.58964,-0.00959,0.99964,0.00859,-0.02343,0.24477,-0.11493,-0.09442,
1502786358095906304,-0.17666,-0.23541,0.52457,-0.02011,0.99850,0.00934,0.05006,-0.66696,-0.27260,-0.09416,
1502786358195727616,-0.23373,-0.19967,0.57193,-0.00983,0.99928,0.00811,0.03581,-0.61296,-0.14538,-0.01184,
1502786358295661568,-0.23510,-0.20312,0.65468,-0.00655,0.99988,0.00743,0.01160,-0.36515,-0.13083,0.08007,
1502786358395573248,-0.22110,-0.20226,0.68761,-0.00369,0.99997,0.00744,-0.00020,-0.24989,-0.11513,0.17528,
1502786358495565312,-0.21502,-0.21337,0.71011,-0.00356,0.99996,0.00743,-0.00288,-0.25021,-0.13609,0.30129,
1502786358595634176,-0.21586,-0.23488,0.74495,-0.00421,0.99995,0.00776,-0.00371,-0.26647,-0.15561,0.42939,
1502786358695586560,-0.22020,-0.24526,0.77775,-0.00431,0.99995,0.00772,-0.00367,-0.29198,-0.15833,0.54736,
1502786358795740160,-0.23244,-0.25760,0.82553,-0.00431,0.99995,0.00772,-0.00368,-0.32369,-0.16353,0.66194,
1502786358895595008,-0.24299,-0.27892,0.88376,-0.00449,0.99995,0.00779,-0.00430,-0.33741,-0.17218,0.75968,
1502786358995599104,-0.25067,-0.29898,0.93442,-0.00448,0.99995,0.00784,-0.00519,-0.33974,-0.17460,0.82832,
